customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges_Monthly,account_Charges_Total,daily_expenses
0002-Orfbo,0,Female,0,1,1,9,1,0,Dsl,0,1,0,1,1,0,One Year,1,Mailed Check,65.6,593.3,2.1866666666666665
0003-Mknfe,0,Male,0,0,0,9,1,1,Dsl,0,0,0,0,0,1,Month-To-Month,0,Mailed Check,59.9,542.4,1.9966666666666666
0004-Tlhlj,1,Male,0,0,0,4,1,0,Fiber Optic,0,0,1,0,0,0,Month-To-Month,1,Electronic Check,73.9,280.85,2.4633333333333334
0011-Igkff,1,Male,1,1,0,13,1,0,Fiber Optic,0,1,1,0,1,1,Month-To-Month,1,Electronic Check,98.0,1237.85,3.2666666666666666
0013-Exchz,1,Female,1,1,0,3,1,0,Fiber Optic,0,0,0,1,1,0,Month-To-Month,1,Mailed Check,83.9,267.4,2.796666666666667
0013-Mhzwf,0,Female,0,0,1,9,1,0,Dsl,0,0,0,1,1,1,Month-To-Month,1,Credit Card (Automatic),69.4,571.45,2.3133333333333335
0013-Smeoe,0,Female,1,1,0,71,1,0,Fiber Optic,1,1,1,1,1,1,Two Year,1,Bank Transfer (Automatic),109.7,7904.25,3.6566666666666667
0014-Bmaqu,0,Male,0,1,0,63,1,1,Fiber Optic,1,0,0,1,0,0,Two Year,1,Credit Card (Automatic),84.65,5377.8,2.8216666666666668
0015-Uocoj,0,Female,1,0,0,7,1,0,Dsl,1,0,0,0,0,0,Month-To-Month,1,Electronic Check,48.2,340.35,1.6066666666666667
0016-Qljis,0,Female,0,1,1,65,1,1,Dsl,1,1,1,1,1,1,Two Year,1,Mailed Check,90.45,5957.9,3.015
0017-Dinoc,0,Male,0,0,0,54,0,0,Dsl,1,0,0,1,1,0,Two Year,0,Credit Card (Automatic),45.2,2460.55,1.5066666666666668
0017-Iudmw,0,Female,0,1,1,72,1,1,Fiber Optic,1,1,1,1,1,1,Two Year,1,Credit Card (Automatic),116.8,8456.75,3.893333333333333
0018-Nyrou,0,Female,0,1,0,5,1,0,Fiber Optic,0,0,0,0,0,0,Month-To-Month,1,Electronic Check,68.95,351.5,2.2983333333333333
0019-Efaep,0,Female,0,0,0,72,1,1,Fiber Optic,1,1,1,0,1,0,Two Year,1,Bank Transfer (Automatic),101.3,7261.25,3.3766666666666665
0019-Gfntw,0,Female,0,0,0,56,0,0,Dsl,1,1,1,1,0,0,Two Year,0,Bank Transfer (Automatic),45.05,2560.1,1.5016666666666665
0020-Inwck,0,Female,0,1,1,71,1,1,Fiber Optic,0,1,1,0,0,1,Two Year,1,Credit Card (Automatic),95.75,6849.4,3.191666666666667
0020-Jdnxp,0,Female,0,1,1,34,0,0,Dsl,1,0,1,1,1,1,One Year,0,Mailed Check,61.25,1993.2,2.0416666666666665
0021-Ikxgc,0,Female,1,0,0,1,1,1,Fiber Optic,0,0,0,0,0,0,Month-To-Month,1,Electronic Check,72.1,72.1,2.4033333333333333
0022-Tcjci,1,Male,1,0,0,45,1,0,Dsl,1,0,1,0,0,1,One Year,0,Credit Card (Automatic),62.7,2791.5,2.0900000000000003
0023-Hghwl,1,Male,1,0,0,1,0,0,Dsl,0,0,0,0,0,0,Month-To-Month,1,Electronic Check,25.1,25.1,0.8366666666666667
